generation,gender,fav_animals,fav_place,edu_level,Cluster
Nieznane,Kobieta,Brak ulubionych,,Podstawowe,Cluster 2
Millennialsi,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 1
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,W górach,Średnie,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Brak ulubionych,W górach,Wyższe,Cluster 1
Gen X,Kobieta,Psy,W górach,Wyższe,Cluster 2
Gen Z,Mężczyzna,Koty,W górach,Średnie,Cluster 1
Millennialsi,Mężczyzna,Brak ulubionych,W górach,Wyższe,Cluster 1
Millennialsi,Kobieta,Psy,W lesie,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Inne,W górach,Średnie,Cluster 3
Gen X,Mężczyzna,Inne,Nad wodą,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Koty,Nad wodą,Średnie,Cluster 1
Nieznane,Mężczyzna,Brak ulubionych,,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,,Wyższe,Cluster 1
Gen X,Kobieta,Koty i Psy,Nad wodą,Wyższe,Cluster 3
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Nieznane,Kobieta,Brak ulubionych,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 2
Gen X,Mężczyzna,Psy,W lesie,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Millennialsi,Kobieta,Koty,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Koty,W górach,Wyższe,Cluster 1
Boomersi,Mężczyzna,Inne,,Wyższe,Cluster 3
Millennialsi,Kobieta,Psy,Nad wodą,Średnie,Cluster 1
Millennialsi,Mężczyzna,Koty,Nad wodą,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Inne,Inne,Średnie,Cluster 0
Gen X,Mężczyzna,Koty,Inne,Średnie,Cluster 0
Millennialsi,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 1
Millennialsi,Mężczyzna,Inne,W górach,Średnie,Cluster 3
Millennialsi,Mężczyzna,Brak ulubionych,Nad wodą,Wyższe,Cluster 1
Gen X,Mężczyzna,Psy,W górach,Średnie,Cluster 2
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
Gen X,Mężczyzna,Koty,W lesie,Wyższe,Cluster 2
Millennialsi,,Psy,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Brak ulubionych,W lesie,Wyższe,Cluster 1
Millennialsi,Kobieta,Psy,Nad wodą,Średnie,Cluster 1
Gen X,Kobieta,Psy,Nad wodą,Wyższe,Cluster 2
Gen X,Mężczyzna,Psy,Nad wodą,Średnie,Cluster 2
Millennialsi,Mężczyzna,Inne,W górach,Wyższe,Cluster 3
Gen X,Kobieta,Psy,Nad wodą,Wyższe,Cluster 2
Nieznane,,Brak ulubionych,,Wyższe,Cluster 2
Nieznane,Kobieta,Brak ulubionych,W górach,Wyższe,Cluster 2
Gen X,Kobieta,Brak ulubionych,W górach,Wyższe,Cluster 2
Gen X,Kobieta,Inne,W lesie,Wyższe,Cluster 3
Millennialsi,Kobieta,Psy,Inne,Wyższe,Cluster 0
Gen Z,Mężczyzna,Brak ulubionych,W górach,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Psy,W lesie,Wyższe,Cluster 1
Millennialsi,Mężczyzna,Koty,W lesie,Średnie,Cluster 1
Boomersi,Mężczyzna,Psy,W górach,Wyższe,Cluster 2
Millennialsi,Mężczyzna,Psy,W górach,Wyższe,Cluster 1
